Iteration,param_diffs
0,[0.        1.4245257]
1,[0.        0.5922086]
2,[0.        0.5125334]
3,[0.         0.39989758]
4,[0.         0.40280402]
5,[0.         0.26156807]
6,[0.         0.28097403]
7,[0.         0.23369575]
8,[0.         0.21337569]
9,[0.         0.11163068]
10,[0.         0.08852458]
11,[0.         0.11148107]
12,[0.         0.08119047]
13,[0.         0.05034781]
14,[0.         0.04958558]
15,[0.         0.03768814]
16,[0.        0.0438652]
17,[0.         0.06958044]
18,[0.         0.05920482]
19,[0.         0.04973817]
20,[0.         0.02483642]
21,[0.         0.01218927]
22,[0.         0.04430127]
23,[0.         0.02990079]
24,[0.         0.03123546]
25,[0.         0.02264142]
26,[0.         0.00498772]
27,[0.         0.02248359]
28,[0.         0.00518787]
29,[0.         0.00797552]
30,[0.         0.00610757]
31,[0.         0.00655937]
32,[0.         0.01189494]
33,[0.         0.00767291]
34,[0.         0.00570577]
35,[0.         0.01610106]
36,[0.         0.01102173]
37,[0.         0.00264299]
38,[0.         0.00405425]
39,[0.         0.01063454]
40,[0.         0.00328791]
41,[0.         0.00412643]
42,[0.         0.00849795]
43,[0.         0.00884938]
44,[0.         0.01244891]
45,[0.         0.01035678]
46,[0.         0.01678276]
47,[0.         0.01080525]
48,[0.         0.01571894]
49,[0.         0.01722693]
50,[0.         0.02288425]
51,[0.         0.01730299]
52,[0.         0.00879622]
53,[0.         0.00592339]
54,[0.         0.01031423]
55,[0.         0.01066267]
56,[0.         0.02129424]
57,[0.         0.01959574]
58,[0.         0.02403736]
59,[0.         0.02564442]
60,[0.         0.02830303]
61,[0.         0.03286481]
62,[0.         0.04041457]
63,[0.         0.03569198]
64,[0.         0.03184986]
65,[0.        0.0327605]
66,[0.         0.03326523]
67,[0.         0.02924657]
68,[0.         0.02710927]
69,[0.         0.01776147]
70,[0.         0.02387583]
71,[0.         0.01473868]
72,[0.         0.00979745]
73,[0.         0.00782454]
74,[0.         0.01181364]
75,[0.         0.00877273]
76,[0.         0.01264656]
77,[0.         0.01236093]
78,[0.         0.01810944]
79,[0.         0.02427268]
80,[0.         0.02504742]
81,[0.         0.02617168]
82,[0.         0.03590608]
83,[0.         0.02850366]
84,[0.         0.03124821]
85,[0.         0.03118205]
86,[0.         0.03057027]
87,[0.         0.03218555]
88,[0.         0.04155588]
89,[0.         0.03655803]
90,[0.         0.03995407]
91,[0.         0.04676187]
92,[0.         0.04530525]
93,[0.         0.04527807]
94,[0.         0.03604329]
95,[0.         0.03658485]
96,[0.         0.03957558]
97,[0.         0.04120052]
98,[0.         0.04067278]
99,[0.         0.04406869]
0,[0.       3.102387]
1,[0.        1.5095508]
2,[0.        0.9917372]
3,[0.       0.720085]
4,[0.        0.5770259]
5,[0.         0.44947493]
6,[0.        0.4211533]
7,[0.         0.34960884]
8,[0.         0.28020585]
9,[0.         0.26478618]
10,[0.         0.25091988]
11,[0.        0.2644722]
12,[0.         0.34435838]
13,[0.         0.36609548]
14,[0.         0.32424772]
15,[0.         0.29079407]
16,[0.         0.29643446]
17,[0.         0.29288948]
18,[0.         0.25186437]
19,[0.         0.26239115]
20,[0.         0.25807375]
21,[0.         0.24033427]
22,[0.       0.275854]
23,[0.         0.27476293]
24,[0.        0.2978447]
25,[0.         0.29459262]
26,[0.         0.28829235]
27,[0.         0.29646027]
28,[0.        0.2870916]
29,[0.         0.28191644]
30,[0.         0.27484846]
31,[0.         0.25919116]
32,[0.         0.28070247]
33,[0.        0.2719168]
34,[0.         0.27679342]
35,[0.        0.2739542]
36,[0.         0.27509516]
37,[0.         0.26927215]
38,[0.         0.24512494]
39,[0.         0.22832936]
40,[0.         0.22091353]
41,[0.         0.22191745]
42,[0.        0.2151795]
43,[0.         0.21401572]
44,[0.         0.21170801]
45,[0.         0.21070212]
46,[0.         0.21308655]
47,[0.        0.2119745]
48,[0.         0.22254467]
49,[0.         0.22870153]
50,[0.         0.20930344]
51,[0.         0.21098042]
52,[0.         0.20161235]
53,[0.         0.18808842]
54,[0.         0.17488915]
55,[0.         0.17682523]
56,[0.         0.17333591]
57,[0.         0.18445647]
58,[0.         0.17770392]
59,[0.        0.1838165]
60,[0.        0.1821776]
61,[0.         0.17890126]
62,[0.         0.16313124]
63,[0.         0.15682793]
64,[0.        0.1507386]
65,[0.        0.1558032]
66,[0.         0.15593958]
67,[0.         0.15455598]
68,[0.         0.15192103]
69,[0.         0.15164948]
70,[0.         0.14564258]
71,[0.         0.14355987]
72,[0.        0.1317625]
73,[0.         0.11989993]
74,[0.        0.1216507]
75,[0.         0.10716909]
76,[0.         0.10318178]
77,[0.         0.09641707]
78,[0.         0.10185069]
79,[0.         0.09818995]
80,[0.         0.09881896]
81,[0.        0.1029793]
82,[0.         0.10724509]
83,[0.         0.10461932]
84,[0.         0.10594463]
85,[0.         0.10940802]
86,[0.         0.10066146]
87,[0.         0.10284662]
88,[0.         0.10520637]
89,[0.         0.11230803]
90,[0.         0.11463541]
91,[0.        0.1101867]
92,[0.         0.10979593]
93,[0.        0.1078735]
94,[0.         0.09987456]
95,[0.         0.08761942]
96,[0.         0.09147108]
97,[0.        0.0907045]
98,[0.         0.08986419]
99,[0.         0.09371972]
0,[0.        1.8589375]
1,[0.       0.875304]
2,[0.         0.34845543]
3,[0.        0.1323216]
4,[0.         0.15425706]
5,[0.         0.12582958]
6,[0.         0.11477304]
7,[0.         0.20552278]
8,[0.         0.17682457]
9,[0.        0.1774348]
10,[0.         0.13940787]
11,[0.         0.14181781]
12,[0.        0.1229403]
13,[0.         0.12590957]
14,[0.         0.11614406]
15,[0.         0.06475782]
16,[0.         0.07476985]
17,[0.         0.09329891]
18,[0.         0.09243751]
19,[0.         0.08251452]
20,[0.         0.09480834]
21,[0.         0.08048427]
22,[0.         0.07785487]
23,[0.         0.10553753]
24,[0.         0.09986937]
25,[0.         0.10818863]
26,[0.         0.11381233]
27,[0.         0.07889175]
28,[0.         0.05496716]
29,[0.         0.06417549]
30,[0.         0.06565511]
31,[0.         0.04938519]
32,[0.        0.0408988]
33,[0.         0.04589379]
34,[0.         0.03824568]
35,[0.         0.04734981]
36,[0.         0.05086195]
37,[0.         0.06703293]
38,[0.         0.05754566]
39,[0.         0.05221272]
40,[0.         0.04566431]
41,[0.         0.05563259]
42,[0.         0.05459666]
43,[0.         0.06053638]
44,[0.         0.06465805]
45,[0.         0.06989324]
46,[0.         0.06552446]
47,[0.         0.05053067]
48,[0.         0.04916275]
49,[0.         0.05447793]
50,[0.         0.06123579]
51,[0.         0.07426417]
52,[0.         0.06326854]
53,[0.         0.05237722]
54,[0.         0.06162739]
55,[0.         0.06967235]
56,[0.        0.0643158]
57,[0.         0.05649769]
58,[0.         0.05799401]
59,[0.         0.05619633]
60,[0.         0.05157411]
61,[0.         0.05227613]
62,[0.         0.05350399]
63,[0.         0.05392873]
64,[0.         0.05620193]
65,[0.         0.04787159]
66,[0.         0.04754233]
67,[0.         0.05028021]
68,[0.         0.05027401]
69,[0.         0.04775298]
70,[0.        0.0553658]
71,[0.         0.05241477]
72,[0.         0.06103575]
73,[0.         0.06057143]
74,[0.        0.0574311]
75,[0.         0.05160284]
76,[0.         0.04539025]
77,[0.         0.04355907]
78,[0.         0.03968692]
79,[0.         0.03854072]
80,[0.         0.05133331]
81,[0.         0.05301118]
82,[0.         0.04303658]
83,[0.         0.04125714]
84,[0.         0.03969431]
85,[0.         0.04581881]
86,[0.         0.03880823]
87,[0.         0.03073192]
88,[0.         0.03739119]
89,[0.         0.04087389]
90,[0.         0.04434681]
91,[0.         0.05389273]
92,[0.         0.04530036]
93,[0.         0.04086459]
94,[0.         0.04244792]
95,[0.         0.04702199]
96,[0.         0.04117966]
97,[0.         0.04712081]
98,[0.         0.04919994]
99,[0.         0.05133486]
0,[0.        2.4977322]
1,[0.        1.3977165]
2,[0.        0.5931226]
3,[0.         0.02438349]
4,[0.         0.10473126]
5,[0.        0.0564239]
6,[0.         0.09892726]
7,[0.         0.02415246]
8,[0.         0.04194653]
9,[0.         0.07704914]
10,[0.         0.06702358]
11,[0.         0.03701115]
12,[0.         0.00321341]
13,[0.         0.01119852]
14,[0.         0.07837063]
15,[0.         0.08334517]
16,[0.         0.05770588]
17,[0.         0.05943495]
18,[0.         0.09264755]
19,[0.         0.05301559]
20,[0.         0.03014135]
21,[0.         0.01629072]
22,[0.         0.00718009]
23,[0.         0.02106357]
24,[0.         0.00346756]
25,[0.         0.01175308]
26,[0.         0.01098967]
27,[0.        0.0160147]
28,[0.         0.02466953]
29,[0.         0.02905107]
30,[0.         0.04235828]
31,[0.         0.03573382]
32,[0.         0.02151513]
33,[0.         0.02778375]
34,[0.         0.02231812]
35,[0.         0.01825523]
36,[0.         0.02609634]
37,[0.         0.03645682]
38,[0.         0.04191887]
39,[0.         0.04538536]
40,[0.        0.0440346]
41,[0.         0.04548013]
42,[0.         0.04923475]
43,[0.         0.05119097]
44,[0.         0.04853737]
45,[0.         0.06434155]
46,[0.         0.06396329]
47,[0.         0.06572533]
48,[0.         0.06975067]
49,[0.         0.06108057]
50,[0.         0.07411194]
51,[0.         0.07047272]
52,[0.        0.0610795]
53,[0.        0.0475018]
54,[0.         0.04499793]
55,[0.         0.03304887]
56,[0.         0.02326965]
57,[0.         0.02848256]
58,[0.         0.03261483]
59,[0.         0.02808142]
60,[0.         0.02889407]
61,[0.         0.03184104]
62,[0.         0.03658319]
63,[0.         0.03643143]
64,[0.         0.03988004]
65,[0.         0.04010093]
66,[0.         0.03535247]
67,[0.        0.0336076]
68,[0.         0.02997565]
69,[0.         0.03649783]
70,[0.         0.02990448]
71,[0.         0.03060615]
72,[0.         0.02769232]
73,[0.         0.02460372]
74,[0.         0.02307701]
75,[0.         0.02188826]
76,[0.         0.02232277]
77,[0.         0.02612996]
78,[0.         0.02663231]
79,[0.         0.03006041]
80,[0.         0.02639127]
81,[0.         0.02693486]
82,[0.         0.01973629]
83,[0.        0.0100342]
84,[0.         0.02138281]
85,[0.         0.02991474]
86,[0.         0.02594042]
87,[0.        0.0305419]
88,[0.         0.02199996]
89,[0.         0.02277362]
90,[0.         0.02250516]
91,[0.         0.02279985]
92,[0.         0.02440679]
93,[0.         0.02595675]
94,[0.        0.0245651]
95,[0.        0.0292697]
96,[0.         0.02558613]
97,[0.         0.02471983]
98,[0.         0.02702773]
99,[0.         0.02755308]
0,[0.         0.28259313]
1,[0.         0.00832617]
2,[0.         0.09030068]
3,[0.         0.04442656]
4,[0.         0.09348345]
5,[0.         0.07638085]
