Iteration,param_diffs
0,[0.        1.4245257]
1,[0.        1.1701357]
2,[0.         0.74388885]
3,[0.        0.5131438]
4,[0.        0.6056591]
5,[0.        0.9295833]
6,[0.        0.7114277]
7,[0.        0.5985794]
8,[0.         0.87126553]
9,[0.        0.8503115]
10,[0.        0.7056949]
11,[0.        0.6615547]
12,[0.        0.7033384]
13,[0.         0.70631635]
14,[0.         0.91012836]
15,[0.        0.8503169]
16,[0.        0.8307674]
17,[0.        1.1311727]
18,[0.        1.1649761]
19,[0.        1.1540537]
20,[0.        1.2613599]
21,[0.        1.2741809]
22,[0.        1.4613297]
23,[0.        1.3927312]
24,[0.        1.0489419]
25,[0.        1.0588691]
26,[0.        1.0676637]
27,[0.         0.98059094]
28,[0.        1.2105949]
29,[0.        1.1055217]
30,[0.        1.0516069]
31,[0.         0.87766504]
32,[0.         0.86756897]
33,[0.       0.957939]
34,[0.        0.9280621]
35,[0.        0.9891331]
36,[0.        0.8329613]
37,[0.        0.8128065]
38,[0.        0.7589719]
39,[0.        0.7532884]
40,[0.         0.83572936]
41,[0.        0.8384707]
42,[0.         0.84901655]
43,[0.       0.849285]
44,[0.         0.85487926]
45,[0.        0.7931491]
46,[0.        0.7420995]
47,[0.         0.75488126]
48,[0.        0.8377408]
49,[0.        0.9089776]
50,[0.         0.80898654]
51,[0.        0.7759981]
52,[0.        0.7789589]
53,[0.        0.7287632]
54,[0.         0.40827692]
55,[0.        0.3570403]
56,[0.         0.34966373]
57,[0.         0.45601964]
58,[0.         0.44136035]
59,[0.         0.31017208]
60,[0.         0.29390907]
61,[0.         0.28634655]
62,[0.         0.28601575]
63,[0.       0.315915]
64,[0.         0.29979038]
65,[0.        0.3666525]
66,[0.        0.3008474]
67,[0.         0.32287085]
68,[0.        0.3392197]
69,[0.         0.34216988]
70,[0.         0.32185483]
71,[0.         0.30398226]
72,[0.         0.27535617]
73,[0.         0.28616548]
74,[0.         0.32939863]
75,[0.         0.33327365]
76,[0.         0.32960665]
77,[0.         0.33420014]
78,[0.        0.3152566]
79,[0.        0.2574377]
80,[0.         0.24931264]
81,[0.        0.1723727]
82,[0.         0.22574401]
83,[0.         0.22294378]
84,[0.         0.21087182]
