Iteration,param_diffs
0,[0.47624964 1.1134984 ]
1,[0.9816259 0.1116581]
2,[0.9241408  0.05904847]
3,[0.9063833  0.10096902]
4,[1.2687262  0.23199522]
5,[1.2774675 0.198618 ]
6,[1.3471004  0.09864509]
7,[0.80136067 0.40965056]
8,[0.3296337 1.7785888]
9,[0.37933636 1.7483325 ]
10,[0.5278907 1.3754797]
11,[0.11686569 1.1608257 ]
12,[1.3107275 2.39184  ]
13,[0.9609946 2.4248397]
14,[0.12189555 1.4235542 ]
15,[0.29497936 1.2065599 ]
16,[0.38097808 1.2512321 ]
17,[0.4968233 1.209732 ]
18,[0.5045931 1.2129121]
19,[0.31242323 1.208025  ]
20,[0.17925909 1.3928242 ]
21,[0.4994177 1.2183838]
22,[0.4982443 1.218113 ]
23,[0.38469163 1.2298036 ]
24,[0.3047949 1.15486  ]
25,[0.6443318 0.906772 ]
26,[0.6528747 0.9029875]
27,[0.6932685 0.8479117]
28,[0.47653538 0.71082187]
29,[0.34503853 0.73755956]
30,[0.7307024  0.47433376]
31,[0.8410668  0.43185878]
32,[0.9452996  0.46669567]
33,[0.6841279  0.49343574]
34,[0.7957833 0.5277251]
35,[0.8337374  0.54900753]
36,[1.0120206 0.5727174]
37,[0.9110467 0.5524379]
38,[0.76515377 0.7368146 ]
39,[0.74772066 0.7298198 ]
40,[0.5321372  0.69461536]
41,[0.27226985 0.8665823 ]
42,[0.14790486 0.7498348 ]
43,[0.04056108 0.8111347 ]
44,[0.02991739 0.82629466]
45,[0.01857202 0.8251766 ]
46,[0.04391634 0.80400383]
47,[0.13368787 0.73028636]
48,[0.13707119 0.72799504]
49,[0.20442031 0.70983076]
50,[0.25920862 0.6681881 ]
51,[0.23268346 0.6845037 ]
52,[0.21936128 0.69719326]
53,[0.2062827 0.6925446]
54,[0.30604246 0.7965901 ]
55,[0.34019408 0.7824544 ]
56,[0.39631766 0.7581687 ]
57,[0.4706099  0.69692624]
58,[0.27164575 0.5053477 ]
59,[0.2775591  0.49888277]
60,[0.25043762 0.51072574]
61,[0.26744315 0.5100094 ]
62,[0.23957866 0.50753546]
63,[0.13625902 0.41194916]
64,[0.11704001 0.4240669 ]
65,[0.01491585 0.354715  ]
66,[0.04240143 0.38228023]
67,[0.21263176 0.19699168]
68,[0.17735022 0.22606146]
69,[0.29041982 0.17723632]
70,[0.45161456 0.13928223]
71,[0.45083952 0.13936532]
72,[0.41398185 0.10990965]
73,[0.55419695 0.03628278]
74,[0.38099635 0.06914616]
75,[0.4477625  0.09150147]
76,[0.4307919  0.08207178]
77,[0.3457954  0.08591509]
78,[0.44065553 0.06521285]
79,[0.3241349  0.10575891]
80,[0.32086664 0.10523832]
81,[0.27216864 0.08417952]
82,[0.3251095  0.09617031]
83,[0.25827956 0.13810444]
84,[0.30309108 0.12262797]
