Iteration,param_diffs
0,[0.        1.4245257]
1,[0.        1.9040124]
2,[0.       2.039159]
3,[0.        1.9740777]
4,[0.        2.1088765]
5,[0.        2.5706038]
6,[0.        2.7692792]
7,[0.        2.4739695]
8,[0.        2.5119843]
9,[0.        2.9139652]
10,[0.        3.0677752]
11,[0.        2.8493447]
12,[0.        2.7633905]
13,[0.        2.7438366]
14,[0.        2.7011633]
15,[0.       2.715563]
16,[0.       2.126763]
17,[0.        2.0153213]
18,[0.        1.9672353]
19,[0.       1.988543]
20,[0.        1.8531404]
21,[0.       1.750613]
22,[0.        1.5622005]
23,[0.       1.523586]
24,[0.        2.0229142]
25,[0.      2.10642]
26,[0.        2.8994875]
27,[0.        2.7386925]
28,[0.        2.7033827]
29,[0.        2.3842404]
30,[0.        2.0761373]
31,[0.        2.1554492]
32,[0.        2.2856185]
33,[0.        2.1691055]
34,[0.       1.998594]
35,[0.        2.0198967]
36,[0.        1.9741132]
37,[0.       2.300574]
38,[0.       2.702924]
39,[0.        2.3634126]
40,[0.        2.3165236]
41,[0.        2.3625515]
42,[0.       2.330379]
43,[0.        2.3548963]
44,[0.        2.0905514]
45,[0.       2.130334]
46,[0.        2.1322584]
47,[0.        2.1357982]
48,[0.        2.0898185]
49,[0.       2.080217]
50,[0.        1.9322777]
51,[0.        1.9118278]
52,[0.        1.9067173]
53,[0.        1.8988111]
54,[0.       1.907202]
55,[0.        1.9131329]
56,[0.        1.9132442]
57,[0.        1.9796224]
58,[0.        1.9792578]
59,[0.        2.0124094]
60,[0.        1.2117434]
61,[0.        1.1935048]
62,[0.        1.1494596]
63,[0.        1.1689353]
64,[0.        1.1814442]
65,[0.        1.1856408]
66,[0.        1.2825172]
67,[0.        1.2946763]
68,[0.        1.1966841]
69,[0.        1.1985934]
70,[0.      0.78755]
71,[0.         0.88915443]
72,[0.        0.8480617]
73,[0.        0.8898735]
74,[0.         0.83006513]
75,[0.         0.83635795]
76,[0.         0.83127964]
77,[0.        0.8297359]
78,[0.         0.84448445]
79,[0.         0.88532186]
80,[0.         0.88723445]
81,[0.        0.7921262]
82,[0.        0.7498108]
83,[0.        0.7484019]
84,[0.         0.75604606]
85,[0.        0.7326013]
86,[0.         0.81158817]
87,[0.        0.8017292]
88,[0.         0.80785954]
89,[0.         0.80612934]
90,[0.         0.80266285]
91,[0.        0.7817446]
92,[0.        0.7919309]
93,[0.         0.79162776]
94,[0.         0.84012663]
95,[0.        0.8401332]
96,[0.        0.8314694]
97,[0.         0.79862905]
98,[0.         0.78590214]
99,[0.        0.7793833]
0,[0.       3.102387]
1,[0.        2.4532614]
2,[0.        2.5334408]
3,[0.        2.2277834]
4,[0.        2.3602939]
5,[0.        1.8870003]
6,[0.        1.9657326]
7,[0.         0.13506645]
8,[0.         0.57175064]
9,[0.         0.67306906]
10,[0.        0.6013936]
11,[0.         0.45102143]
12,[0.         0.29622644]
13,[0.         0.49975622]
14,[0.         0.34760213]
15,[0.       0.345056]
16,[0.         0.40069848]
17,[0.        0.4320556]
18,[0.         0.37290752]
19,[0.         0.37606817]
20,[0.         0.43147826]
21,[0.         0.45657402]
22,[0.         0.44293785]
23,[0.        0.4721499]
24,[0.         0.65435266]
25,[0.        0.6046902]
26,[0.        0.6850448]
27,[0.         0.67670834]
28,[0.        0.7539482]
29,[0.         0.74674696]
30,[0.        0.8879271]
31,[0.        1.1620778]
32,[0.        1.1218965]
33,[0.        1.1581749]
34,[0.        1.1482073]
35,[0.       1.160816]
36,[0.        1.0533532]
37,[0.        1.0305842]
38,[0.         0.97519356]
39,[0.       0.955265]
40,[0.         0.93326306]
41,[0.        0.9132275]
42,[0.        0.6768168]
43,[0.        0.5721576]
44,[0.       0.625682]
45,[0.        0.6333456]
46,[0.         0.47276437]
47,[0.        0.4700309]
48,[0.         0.47413158]
49,[0.         0.46915656]
50,[0.       0.502058]
51,[0.         0.50487006]
52,[0.        0.5566243]
53,[0.         0.49214876]
54,[0.         0.41663843]
55,[0.        0.4022681]
56,[0.        0.3975017]
57,[0.        0.4356928]
58,[0.        0.3705396]
59,[0.         0.38325167]
60,[0.         0.37452793]
61,[0.         0.31284845]
62,[0.         0.32783628]
63,[0.         0.27489096]
64,[0.         0.23019767]
65,[0.         0.20997554]
66,[0.         0.20303625]
67,[0.         0.20313627]
68,[0.        0.2090742]
69,[0.         0.22533607]
70,[0.         0.19626719]
71,[0.         0.18461245]
72,[0.         0.19613034]
73,[0.         0.37797928]
74,[0.         0.37409127]
75,[0.        0.4452309]
76,[0.         0.43966013]
77,[0.        0.4600777]
78,[0.         0.44398773]
79,[0.         0.48003972]
80,[0.         0.40790713]
81,[0.         0.45125782]
82,[0.         0.39775604]
83,[0.         0.31464875]
84,[0.        0.3120038]
85,[0.         0.32017678]
86,[0.         0.30374438]
87,[0.         0.33648658]
88,[0.         0.73436975]
89,[0.        0.7357734]
90,[0.         0.73972666]
91,[0.        0.7410413]
92,[0.        0.7563229]
93,[0.        0.7639335]
94,[0.       0.789599]
95,[0.         0.83808595]
96,[0.         0.83657616]
97,[0.        0.8833824]
98,[0.        0.8907832]
99,[0.        0.8609816]
0,[0.        1.8589375]
1,[0.       2.082482]
2,[0.        1.9681575]
3,[0.        2.3598056]
4,[0.        1.8410122]
5,[0.        1.8419445]
6,[0.        1.6111217]
7,[0.        1.4835076]
8,[0.        1.4427333]
9,[0.         0.92687666]
10,[0.        0.9391463]
11,[0.        1.3464537]
12,[0.        1.6305552]
13,[0.        1.3185084]
14,[0.        1.3126395]
15,[0.       1.303663]
16,[0.        1.2382882]
17,[0.        1.0331993]
