Iteration,param_diffs
0,[0.        1.4245257]
1,[0.        1.1701357]
2,[0.        1.2988005]
3,[0.        1.9960384]
4,[0.        1.8980896]
5,[0.        0.9336817]
6,[0.        0.8830135]
7,[0.        0.6143663]
8,[0.        1.1388817]
9,[0.        1.0601869]
10,[0.       1.028348]
11,[0.         0.91561615]
12,[0.        0.9723275]
13,[0.        0.7168145]
14,[0.         0.51655006]
15,[0.        0.5965049]
16,[0.         0.49878943]
17,[0.         0.27921426]
18,[0.        1.3544748]
19,[0.        1.3863277]
20,[0.        1.1647217]
21,[0.        1.0662773]
22,[0.       1.096842]
23,[0.        1.1476417]
24,[0.         0.30043113]
25,[0.         0.29331583]
26,[0.        0.2523051]
27,[0.         0.29068917]
28,[0.        0.3114131]
29,[0.         0.19127446]
30,[0.         0.20826793]
31,[0.         0.21567935]
32,[0.         0.24725068]
33,[0.         0.25248516]
34,[0.         0.19601434]
35,[0.         0.17632872]
36,[0.         0.11458731]
37,[0.        0.1643824]
38,[0.         0.16280848]
39,[0.         0.13292587]
40,[0.        0.0864042]
41,[0.        0.0027377]
42,[0.         0.02552164]
43,[0.         0.03327155]
44,[0.       0.110479]
45,[0.        0.1268475]
46,[0.        0.1426546]
47,[0.         0.11336017]
48,[0.         0.04732502]
49,[0.         0.02521271]
50,[0.         0.00340015]
51,[0.         0.02537084]
52,[0.         0.03614992]
53,[0.         0.14417875]
54,[0.         0.04721773]
55,[0.         0.13047576]
56,[0.         0.12186348]
57,[0.         0.09716761]
58,[0.         0.15648872]
59,[0.         0.18281382]
60,[0.         0.22578847]
61,[0.         0.24367881]
62,[0.         0.21578342]
63,[0.         0.16837406]
64,[0.       0.156008]
65,[0.         0.14878553]
66,[0.         0.16368687]
67,[0.         0.32137024]
68,[0.         0.32087183]
69,[0.         0.28840154]
70,[0.         0.27387685]
71,[0.         0.28898853]
72,[0.         0.27673924]
73,[0.         0.27864695]
74,[0.         0.23791122]
75,[0.       0.228468]
76,[0.         0.20154649]
77,[0.         0.18146092]
78,[0.         0.18518203]
79,[0.         0.22474146]
80,[0.         0.14614046]
81,[0.         0.14088607]
82,[0.         0.16845798]
83,[0.         0.16923946]
84,[0.         0.16222525]
