Iteration,param_diffs
0,[0.08122218 0.06737912]
1,[0.30141413 1.0442954 ]
2,[0.5552316  0.19792253]
3,[0.4926253  0.10739648]
4,[0.57358485 0.00505972]
5,[0.5665669  0.00372553]
6,[0.54252696 0.05559152]
7,[0.5363846  0.06698263]
8,[0.09836054 0.24621296]
9,[0.47519496 0.23207664]
10,[0.2782535  0.04654169]
11,[0.2789335  0.04757702]
12,[0.31403333 0.08027697]
13,[0.32813472 0.1075213 ]
14,[0.36199117 0.13405716]
15,[0.22292235 0.01979101]
16,[0.23007631 0.00982153]
17,[0.2655513  0.00854027]
18,[0.25631705 0.0035696 ]
19,[0.24854146 0.00350249]
20,[0.23846704 0.00988859]
21,[0.23390448 0.01334274]
22,[0.23031193 0.01623559]
23,[0.22218004 0.0199852 ]
24,[0.16921514 0.14623034]
25,[0.15111345 0.16004622]
26,[0.05674991 0.09086895]
27,[0.07115135 0.09958863]
28,[0.0198067 0.1034776]
29,[0.02714743 0.09920955]
30,[0.08957508 0.03633261]
31,[0.09366853 0.04134107]
32,[0.09156096 0.03795815]
33,[0.06415013 0.01950204]
34,[0.22399402 0.16394079]
35,[0.26337647 0.13098836]
36,[0.27770534 0.12014246]
37,[0.29326978 0.12088227]
38,[0.27328354 0.14798582]
39,[0.10047145 0.06887639]
40,[0.12363434 0.07523048]
41,[0.13060972 0.06669152]
42,[0.09866202 0.06466103]
43,[0.22538948 0.08919859]
44,[0.3109675  0.11463928]
45,[0.1100246  0.03953087]
46,[0.13026255 0.02316689]
47,[0.15377699 0.00999266]
48,[0.15201625 0.00658298]
49,[0.14733987 0.00205326]
50,[0.14370143 0.00043547]
51,[0.16077377 0.00560218]
52,[0.17661767 0.01641959]
53,[0.2710706  0.01484358]
54,[0.2573519  0.03479505]
55,[0.22596669 0.03234947]
56,[0.23001316 0.02068186]
57,[0.24053323 0.01267385]
58,[0.2403425  0.01291323]
59,[0.3109813  0.04763037]
60,[0.19288076 0.08452553]
61,[0.26502103 0.07759857]
62,[0.25278154 0.07184714]
63,[0.24961089 0.06949264]
64,[0.22502738 0.05600941]
65,[0.22276574 0.05501193]
66,[0.22545835 0.08051389]
67,[0.21975122 0.0813933 ]
68,[0.22076328 0.08264583]
69,[0.25720423 0.06306297]
70,[0.2931187  0.09072345]
71,[0.3402098  0.09002334]
72,[0.30660784 0.07075423]
73,[0.49963778 0.01994693]
74,[0.49412802 0.02436161]
75,[0.5018781  0.01429009]
76,[0.48692772 0.02736735]
77,[0.52835536 0.0381602 ]
78,[0.41932383 0.10401738]
79,[0.2782073  0.04834414]
80,[0.27345157 0.05718291]
81,[0.31924173 0.06486273]
82,[0.31706503 0.07048488]
83,[0.3242787  0.04581654]
84,[0.30831945 0.05216801]
85,[0.28561863 0.04723406]
86,[0.05500579 0.07660115]
87,[0.05279344 0.0729062 ]
88,[0.07062563 0.09117508]
89,[0.06808245 0.08836514]
90,[0.06753892 0.08521038]
91,[0.07689624 0.09916759]
92,[0.06240036 0.08981496]
93,[0.06651146 0.098005  ]
94,[0.07433552 0.10378873]
95,[0.06944214 0.09653795]
96,[0.06826164 0.09285808]
97,[0.06831995 0.09344178]
98,[0.08120435 0.10585189]
99,[0.08153699 0.10620314]
100,[0.23807362 0.04124826]
101,[0.15791586 0.06775331]
102,[0.16852163 0.07219785]
103,[0.17110868 0.07473099]
104,[0.17175448 0.05660135]
105,[0.16901413 0.0514698 ]
106,[0.17588693 0.05666757]
107,[0.17580274 0.05883223]
108,[0.17619304 0.05978942]
109,[0.16823305 0.05415601]
110,[0.16711159 0.04191029]
111,[0.16594175 0.03991258]
112,[0.1775375  0.04564667]
113,[0.17531258 0.04341936]
114,[0.18045494 0.04534292]
115,[0.17843306 0.05460221]
116,[0.1808424  0.05722708]
117,[0.18271999 0.05825686]
118,[0.18461025 0.05993158]
119,[0.18463948 0.05940121]
120,[0.26684868 0.02354723]
121,[0.26748142 0.05295736]
122,[0.23061055 0.06753492]
123,[0.17068885 0.08888239]
124,[0.18183029 0.10554916]
125,[0.18177158 0.10544437]
126,[0.18243155 0.11952305]
127,[0.17932262 0.10995197]
128,[0.16385093 0.11293072]
129,[0.12031091 0.12874329]
130,[0.12048542 0.12891126]
131,[0.11668251 0.1262281 ]
132,[0.12015394 0.12953287]
133,[0.12108509 0.13103408]
134,[0.1214081  0.13596654]
135,[0.12338509 0.13822812]
136,[0.1270324  0.13941938]
137,[0.11533158 0.13670039]
138,[0.11512867 0.135517  ]
139,[0.11532054 0.12731308]
140,[0.10863318 0.12495816]
141,[0.11322954 0.12984848]
142,[0.09856299 0.13295633]
143,[0.07124878 0.14514881]
144,[0.21177867 0.08828443]
145,[0.22499117 0.09939313]
146,[0.24421647 0.10584331]
147,[0.23773883 0.09644651]
148,[0.27121508 0.11529166]
149,[0.2712378  0.11588103]
150,[0.27379614 0.11963868]
151,[0.27388346 0.11786157]
152,[0.30915293 0.11033136]
153,[0.33985177 0.09774625]
154,[0.29535615 0.11671615]
