Iteration,diffs
0,[1.0651608  0.46130216]
1,[0.9875666  0.60885906]
2,[2.0128431 1.8193359]
3,[2.2723064 1.9362674]
4,[1.4241607  0.20842385]
5,[1.4125172  0.20655751]
6,[1.6718683  0.10657972]
7,[1.7160467  0.13912469]
8,[1.5981071  0.22214162]
9,[1.448771   0.12096679]
