Iteration,param_diffs
0,[0.08122218 0.06737912]
1,[0.06940675 0.53338385]
2,[0.08934563 0.78592587]
3,[0.0934512  0.75483394]
4,[0.09345096 0.7548206 ]
5,[0.11728966 0.44422948]
6,[0.08210468 0.32250333]
7,[0.03121018 0.14462245]
8,[0.6308824  0.53268003]
9,[0.6323514  0.40903544]
10,[0.6244472  0.41891718]
11,[0.62526655 0.41470098]
12,[0.59698325 0.44981146]
13,[0.59670484 0.47030163]
14,[0.5674083  0.49440348]
15,[0.57660466 0.44597006]
16,[0.5757752 0.4245001]
17,[0.8869543  0.28060728]
18,[1.8744693 0.7549443]
19,[1.8688492  0.75895023]
20,[1.8575373 0.7644076]
21,[1.8794914 0.7472631]
22,[1.8936532 0.7371236]
23,[1.6416714 0.6192486]
24,[1.6408031  0.62075394]
25,[1.6038023  0.65129113]
26,[1.5976537 0.6646433]
27,[0.8961667 0.33681  ]
28,[0.89610547 0.33702654]
29,[0.92233455 0.32819545]
30,[0.9246833  0.32689077]
31,[0.9303554  0.32298833]
32,[0.92877865 0.32440394]
33,[0.89527005 0.33664465]
34,[0.8707446  0.34678686]
35,[0.8268631  0.36858416]
36,[0.840834  0.3591748]
37,[0.84071445 0.36084253]
38,[0.8439001  0.35740858]
39,[0.86822647 0.33129352]
40,[0.8726533  0.31761003]
41,[0.8791303 0.3133253]
42,[0.85659015 0.27842987]
43,[0.8545266 0.2985286]
44,[0.84753615 0.31204802]
45,[0.8425     0.31953067]
46,[0.282912   0.09831619]
47,[0.30537474 0.08627963]
48,[0.31680706 0.07234228]
49,[0.01821855 0.04573071]
50,[0.01308457 0.04363632]
51,[0.09642086 0.0103606 ]
52,[0.58217335 0.18624938]
53,[0.5847802  0.18333054]
54,[0.60336024 0.17486954]
55,[0.6069271  0.16520107]
56,[0.59634525 0.17289203]
57,[0.72143865 0.2226615 ]
58,[0.7108298  0.22679955]
59,[0.70668775 0.2286452 ]
60,[0.70688003 0.22837615]
61,[0.71004814 0.21999806]
62,[0.5140041  0.14274573]
63,[0.55797875 0.15991068]
64,[0.6787897 0.2078321]
65,[0.78038603 0.24884832]
66,[0.787626   0.24217677]
67,[0.7864075  0.24547935]
68,[0.781012   0.24794227]
69,[0.7627086 0.2546665]
70,[0.7431365  0.26185024]
71,[0.7163714  0.27497196]
72,[0.5451405  0.20688498]
73,[0.5375807  0.21202701]
74,[0.7359599  0.28918183]
75,[0.71861506 0.29541773]
76,[0.7029667  0.30373222]
77,[0.699483   0.30761367]
78,[0.43552962 0.20185089]
79,[0.4305894 0.2065689]
80,[0.4358687  0.20418406]
81,[0.43839616 0.19974047]
82,[0.44322777 0.19739997]
83,[0.4214752 0.2093826]
84,[0.41804522 0.19868857]
85,[0.41930014 0.19609171]
86,[0.15220782 0.09331071]
87,[0.15552521 0.09209108]
88,[0.124662   0.09989214]
89,[0.12776534 0.09905565]
90,[0.12924539 0.09808445]
91,[0.13369052 0.09580314]
92,[0.13010797 0.09675324]
93,[0.14755735 0.08931011]
94,[0.15049249 0.09043658]
95,[0.1450547  0.09254318]
96,[0.14732423 0.0913927 ]
97,[0.1459568  0.09235758]
98,[0.26295894 0.13828754]
99,[0.2606477  0.13892186]
100,[0.26644537 0.13261187]
101,[0.26544937 0.13447422]
102,[0.2891642  0.14352512]
103,[0.31669745 0.13425606]
104,[0.32603922 0.1264103 ]
105,[0.32791007 0.12547904]
106,[0.25918493 0.0988149 ]
107,[0.2566899  0.10083485]
108,[0.25628966 0.10108203]
109,[0.04800037 0.01566446]
110,[0.03985032 0.02083123]
111,[0.02845702 0.02601612]
112,[0.17572777 0.05226147]
113,[0.17976522 0.05096096]
114,[0.03368007 0.00424778]
115,[0.02799714 0.00152129]
116,[0.02690498 0.00189334]
117,[0.17037433 0.05788255]
118,[0.17503628 0.05653894]
119,[0.17211443 0.0593074 ]
120,[0.17174225 0.05965775]
121,[0.17099825 0.06019467]
122,[0.1732179  0.05731893]
123,[0.1680843  0.06546146]
124,[0.17150286 0.06410354]
125,[0.16950601 0.0648194 ]
126,[0.16684872 0.0672847 ]
127,[0.17498492 0.06364638]
128,[0.17478196 0.06381053]
129,[0.17813504 0.05872786]
130,[0.2845903  0.09882689]
131,[0.39084336 0.1391592 ]
132,[0.39178842 0.13888854]
133,[0.38745028 0.14032316]
134,[0.38192233 0.14430046]
135,[0.3863695  0.14255232]
136,[0.2497496  0.09121758]
137,[0.06452271 0.02077222]
138,[0.06384324 0.02111042]
139,[0.06846097 0.01820624]
140,[0.00100134 0.00810838]
141,[0.00873842 0.01097858]
142,[0.01670074 0.01597333]
143,[0.01479354 0.01459754]
144,[0.01248685 0.01239228]
145,[0.01726485 0.0137471 ]
146,[0.1965707  0.05538249]
147,[0.1940383  0.05664772]
148,[0.2309089  0.07048678]
149,[0.22833405 0.07193732]
150,[0.22289678 0.07384115]
151,[0.22230224 0.0742147 ]
152,[0.22648263 0.07243341]
153,[0.22711417 0.07166916]
154,[0.22151303 0.0775795 ]
155,[0.22111954 0.07789928]
156,[0.23194914 0.08202922]
157,[0.22661676 0.083628  ]
158,[0.22170413 0.08492106]
159,[0.21962087 0.08720165]
160,[0.22220927 0.08651131]
161,[0.2221443  0.08773386]
162,[0.22416317 0.08670139]
163,[0.20706506 0.09161663]
164,[0.2101114  0.08914024]
165,[0.20910288 0.08993024]
166,[0.21056816 0.08907992]
167,[0.21396852 0.08774036]
168,[0.20921427 0.08950543]
169,[0.20625557 0.09372944]
170,[0.20257424 0.09616232]
171,[0.34275407 0.14860767]
