Iteration,param_diffs
0,[0.07673112 1.4710717 ]
1,[0.458696   0.31962729]
2,[0.4947543 0.253587 ]
3,[1.0147732 1.3487892]
4,[0.9297813 1.2657363]
5,[0.92916244 1.2553174 ]
6,[0.7141473 1.0126705]
7,[0.68531007 1.0530243 ]
8,[0.8163216 1.0875819]
9,[0.9056687 1.0788774]
10,[1.2228361  0.92384243]
11,[1.151067  0.8745845]
12,[1.5334542  0.22555351]
13,[1.6033888  0.15879083]
14,[1.9194465  0.97401214]
15,[2.0551672  0.93942416]
16,[2.1401737 0.8800789]
17,[2.3415227  0.77383447]
18,[2.1536665 0.6862066]
19,[2.215899  0.6841655]
20,[2.3001595 0.646278 ]
21,[1.7555953 0.1198678]
22,[1.838824   0.13898396]
23,[1.8104377  0.14734685]
24,[1.9418181  0.24734199]
25,[1.78837    0.23468924]
26,[1.7356648  0.25900936]
27,[1.3360374  0.04979956]
28,[1.282904   0.06143105]
29,[1.2754178  0.06517172]
30,[0.8989397  0.08376467]
31,[1.0107518  0.09717011]
32,[1.4863143  0.03874755]
33,[1.3580434  0.04697967]
34,[1.2741399  0.07437551]
35,[1.5921323  0.29171205]
36,[1.6148382  0.28174567]
37,[1.6380332 0.281909 ]
38,[1.6205609 0.2781279]
39,[1.7179068  0.28269207]
40,[1.7091378  0.28583992]
41,[1.5978575  0.26887822]
42,[1.4680245  0.30363953]
43,[1.733179   0.41063178]
44,[1.5249304  0.29964447]
45,[1.178106  0.2657597]
46,[1.3461503 0.2502383]
47,[1.3790817  0.23462391]
48,[1.4328941  0.22330773]
49,[1.42899    0.22534323]
50,[1.4587743  0.22080588]
51,[1.0622243  0.05393028]
52,[1.3080021  0.02508378]
53,[1.2720578 0.0387007]
54,[1.0052257  0.04282522]
55,[0.98348844 0.04764915]
56,[0.94249403 0.04898828]
57,[0.7863795  0.06840968]
58,[0.81057954 0.07502836]
59,[0.785642   0.06144553]
60,[0.76784176 0.07020313]
61,[0.8985325  0.03699273]
62,[0.8757528  0.02810425]
63,[0.90862185 0.02885664]
64,[1.1646209  0.07762456]
65,[1.1494186  0.08190763]
66,[1.1131427  0.08184624]
67,[1.0852425  0.08329308]
68,[1.0506845 0.0771209]
69,[1.0768418  0.06293046]
70,[1.0894804  0.05880845]
71,[1.305899  0.1315887]
72,[1.1835418  0.11334026]
73,[0.94803363 0.04212284]
74,[0.9331778  0.03636765]
75,[0.9043887  0.03061861]
76,[0.96417725 0.04395014]
77,[1.2694304  0.07894158]
78,[1.3286297  0.07202351]
79,[1.175454   0.06243515]
80,[1.3356284  0.13826299]
81,[1.3548987  0.13518727]
82,[1.3610437  0.13346589]
83,[1.4091961  0.13743103]
84,[1.3760986  0.13973272]
85,[1.7731464 0.2575673]
86,[1.8939666 0.2355398]
87,[1.8754256  0.23815274]
88,[1.8344591  0.25773442]
89,[1.7829039  0.24041116]
90,[1.8159237  0.23696649]
91,[1.7816106  0.25189006]
92,[1.6981584  0.22965407]
93,[1.6755111  0.23724914]
94,[1.7304386  0.21999228]
95,[1.6121333  0.19113493]
96,[1.6284724  0.18985498]
97,[1.6275496  0.18963909]
98,[1.6514349  0.19794536]
99,[1.6164652  0.19104576]
0,[3.4690747 4.2892313]
1,[2.8108816 2.4431443]
2,[3.5329146 4.0587263]
3,[3.2800553 2.8484066]
4,[3.2636085 2.52205  ]
5,[3.1621344 2.494558 ]
6,[3.1910934 2.4250946]
7,[2.5564284 1.9677854]
8,[2.6403315 1.9510123]
9,[3.1196601 2.4294949]
10,[3.1174817 2.4286277]
11,[3.2101574 2.3836896]
12,[3.2748632 2.304036 ]
13,[3.3417294 2.1543036]
14,[2.9484541 1.8477287]
15,[2.7366931 1.7393906]
16,[1.8970978 1.2201942]
17,[1.9211655 1.220197 ]
18,[2.0404553 1.0642738]
19,[1.8063526 1.028292 ]
20,[1.4919596 0.8025814]
21,[1.1861696  0.72378504]
22,[1.1685679  0.72890055]
23,[1.2512919 0.7169763]
24,[1.2355831 0.727033 ]
25,[1.0142496  0.63354063]
26,[1.046571   0.60714006]
27,[1.1401969  0.56157595]
28,[1.1147909  0.57037026]
29,[0.7680409  0.46809614]
30,[0.79133534 0.4513793 ]
31,[0.07423389 0.12823266]
32,[0.04192233 0.12652242]
33,[0.06194693 0.1261524 ]
34,[0.08629966 0.13605988]
35,[0.12453366 0.12641346]
36,[0.63180786 0.2431665 ]
37,[0.6299291  0.24302167]
38,[0.81365824 0.2675066 ]
39,[0.5765325  0.13140506]
40,[0.69705236 0.15098965]
41,[0.5002636  0.16686386]
42,[0.4086814  0.18373471]
43,[0.4021573 0.1846168]
44,[0.30930698 0.04702878]
45,[0.32887703 0.03362226]
46,[0.20984602 0.07502627]
47,[0.0681047  0.03555638]
48,[0.16098188 0.05657393]
49,[0.19292802 0.04413158]
50,[0.18670142 0.04688996]
51,[0.2623089  0.02531922]
52,[0.11951301 0.03064954]
53,[0.31100053 0.09229726]
54,[0.4298611  0.12264431]
55,[0.43983254 0.12025154]
56,[0.40969    0.11957693]
57,[0.29455358 0.10425073]
58,[0.02960086 0.00964522]
59,[0.06581284 0.02435321]
60,[0.00396394 0.0327912 ]
61,[0.15726158 0.03533357]
62,[0.06141034 0.03959495]
63,[0.04169157 0.03549564]
64,[0.01121677 0.04550558]
65,[0.09155355 0.00145519]
66,[0.1029107  0.00415885]
67,[0.13620698 0.01385123]
68,[0.19582328 0.0095554 ]
69,[0.34554067 0.00462127]
70,[0.34521574 0.00476837]
71,[0.3410395  0.00409997]
72,[3.6487126e-01 3.4928322e-05]
73,[0.2907885  0.00579572]
74,[0.25687116 0.01067626]
75,[0.08992673 0.03537136]
76,[0.13049297 0.03957206]
77,[0.10587324 0.02842826]
78,[0.00956899 0.04203254]
79,[0.22813994 0.10472763]
80,[0.25375882 0.09548873]
81,[0.24844506 0.09726572]
82,[0.31146842 0.1254425 ]
83,[0.315163   0.12405586]
84,[0.4041854  0.15216357]
85,[0.4932149  0.17725307]
86,[0.38546237 0.15597963]
87,[0.5668252  0.15656847]
88,[0.40298587 0.12090027]
89,[0.05069321 0.03420234]
90,[0.0326471  0.02641666]
91,[0.10285453 0.02124774]
92,[0.09757981 0.0225724 ]
93,[0.11369305 0.01792634]
94,[0.09318888 0.02883887]
95,[0.19481994 0.06338298]
