Iteration,diffs
0,[1.0651608  0.46130216]
1,[0.79296434 0.32588303]
2,[1.5182605  0.09327459]
3,[1.2529249  0.46699864]
4,[1.1702751 0.6425334]
5,[1.9650002 1.0393686]
6,[1.8546277 1.2392988]
7,[1.7556827 1.1752625]
8,[1.6140994 1.1321843]
9,[1.1843151 0.5336739]
