Iteration,diffs
0,[1.0651608  0.46130216]
1,[1.1351566  0.49612546]
2,[1.1314588 0.7280363]
3,[0.40740132 0.01866579]
4,[0.51770824 0.12191606]
5,[0.2483187  0.18780613]
6,[0.1715876  0.05201209]
7,[1.2293205 1.1258888]
8,[1.3787682 1.1486045]
9,[1.4662542 1.213701 ]
