Iteration,param_diffs
0,[0.07673112 1.4710717 ]
1,[0.06417108 1.4440608 ]
2,[0.17076993 0.9885944 ]
3,[0.31118542 0.7716876 ]
4,[0.3794454  0.73710704]
5,[0.37864    0.73828983]
6,[0.40711343 0.7052057 ]
7,[0.56304485 0.52852345]
8,[0.5306834  0.24610972]
9,[0.64246035 0.13423586]
10,[0.5721395  0.02600855]
11,[0.48024237 0.04639614]
12,[0.3773053  0.15457058]
13,[0.7505398  0.08091855]
14,[0.6649511  0.01988292]
15,[0.6272508  0.00548339]
16,[0.5961141  0.03126824]
17,[0.5975992 0.0298996]
18,[0.19576561 0.99258316]
19,[0.14253817 1.0216293 ]
20,[0.10150876 1.0411767 ]
21,[0.17778106 1.0318463 ]
22,[0.21343958 1.0590285 ]
23,[0.34961352 0.97334975]
24,[0.40577826 0.94133663]
25,[0.30332932 0.9868508 ]
26,[0.4177637 0.9297975]
27,[0.51078635 0.8922684 ]
28,[0.25504923 1.0051603 ]
29,[0.25408745 1.0056884 ]
30,[0.1636982 1.0418866]
31,[0.19905537 1.0396172 ]
32,[0.19788152 1.0400318 ]
33,[0.36083177 0.9745159 ]
34,[0.42380607 0.94551283]
35,[0.4848564 0.920331 ]
36,[0.47014245 0.9258433 ]
37,[0.52586555 0.89272   ]
38,[0.57224846 0.85995245]
39,[0.69042414 0.9154922 ]
40,[0.6779425  0.90922856]
41,[0.31185627 0.6908653 ]
42,[0.3589555 0.6768664]
43,[0.37405443 0.66867435]
44,[0.37777585 0.6674035 ]
45,[0.6864873 0.7966022]
46,[0.4572426 0.869158 ]
47,[0.5339075  0.86601985]
48,[0.62477326 0.83198255]
49,[0.6575276 0.8208472]
50,[0.6890703 0.8129935]
51,[0.72357464 0.792879  ]
52,[0.7490949  0.78492403]
53,[0.7547498  0.78347045]
54,[0.8533753  0.75328135]
55,[0.89011663 0.74437034]
56,[1.2295915 0.902511 ]
57,[1.4797499 1.005135 ]
58,[1.4631189 1.0088935]
59,[1.3855761 1.0309455]
60,[1.3894213 1.0300385]
61,[1.4843906 1.064152 ]
62,[1.5293789 1.0629528]
63,[1.5243427 1.0643448]
64,[1.5532933 1.056575 ]
65,[1.5743642 1.0518342]
66,[1.6191149 1.0375487]
67,[1.4467298 1.075433 ]
68,[1.4649558 1.0701777]
69,[1.5101767 1.0586619]
70,[1.5209538 1.055666 ]
71,[1.5296056 1.0529938]
72,[1.4733605 1.0533365]
73,[1.5196083 1.0329365]
74,[1.5003388 1.0370613]
75,[1.2066841 1.112842 ]
76,[1.5661453 1.2467003]
77,[1.5950216 1.2375546]
78,[1.6145821 1.2325989]
79,[1.6646079 1.2196269]
80,[1.5696857 1.219511 ]
81,[1.6196274 1.2036779]
82,[1.7467887 1.1610677]
